,x,y,feature_name
0,15767.52987132353,19916.918658088234,GATA1
1,15801.501608455883,19982.45174632353,MPO
2,15804.87477022059,19941.511948529413,MPO
3,15806.22242647059,19953.993566176472,MPO
4,15822.86305147059,19943.056066176472,MPO
5,15823.430606617647,19867.789522058825,CD48
6,15839.898897058823,19982.063419117647,LTF
7,15840.962775735296,19817.610294117647,LTF
8,15841.584329044119,19952.26792279412,MPO
9,15853.23299632353,19949.66911764706,MPO
10,15858.30193014706,19982.251838235294,LTF
11,15865.924862132353,19988.92922794118,LTF
12,15869.222196691177,19998.40073529412,LTF
13,15981.457950367647,19973.290441176472,MPO
14,16243.517922794119,19996.852022058825,LTF
15,15767.008272058823,19946.73943014706,PLIN4
16,15788.22380514706,19827.83547794118,ATM
17,15793.551240808823,19830.9375,EDNRB
18,15811.422334558823,19941.227022058825,LYZ
19,15816.4453125,19885.827205882353,LYZ
20,15831.70955882353,19877.64705882353,MZB1
21,15835.99609375,19981.93474264706,LYZ
22,15838.729319852942,19901.753216911766,MZB1
23,15838.977481617647,19902.329963235294,MZB1
24,15843.191636029413,19984.731158088234,LYZ
25,15843.06755514706,19979.126838235294,LYZ
26,15844.077435661766,19939.45542279412,MZB1
27,15848.00896139706,19924.855238970587,DERL3
28,15850.481387867647,19899.676011029413,MZB1
29,15852.426470588236,19987.670036764706,LYZ
30,15852.96875,19964.106158088234,LYZ
31,15861.380974264706,19873.798253676472,MZB1
32,15861.629136029413,19857.458639705885,SH2D3C
33,15863.25367647059,19858.37775735294,ADGRL4
34,16037.004825367647,19275.707720588234,LYZ
35,16244.216452205883,19936.160386029413,LYZ
36,16266.66934742647,19824.207261029413,LYZ
37,16271.02711397059,19156.030560661766,LYZ
38,15784.751838235296,19913.246783088234,ELANE
39,15798.176700367647,19975.01838235294,MS4A6A
40,15817.575827205883,19938.062959558825,ELANE
41,15821.366038602942,19940.572150735294,ELANE
42,15826.645220588236,19900.045955882353,SPP1
43,15833.21231617647,19954.24862132353,ELANE
44,15844.662224264706,19835.896139705885,SCGB2A1
45,15848.522518382353,19986.911764705885,CAMP
46,15773.609834558823,19878.079044117647,CXCL12
47,15780.461856617647,19872.493106617647,CXCL12
48,15783.656939338236,19881.42922794118,CXCL12
49,15791.576286764706,19849.310661764706,ECSCR
50,15797.378216911766,19920.34237132353,CAVIN1
51,15804.917279411766,19969.35661764706,PCNA
52,15843.562729779413,19887.98943014706,LGALS1
53,15855.784696691177,19966.20174632353,CXCR4
54,16376.467141544119,19493.552389705885,DNAAF1
55,16389.17049632353,19964.774816176472,CAVIN1
56,15769.145220588236,19916.21323529412,HEMGN
57,15771.01677389706,19935.66636029412,CAVIN2
58,15798.810891544119,19972.17830882353,ASPN
59,15807.845818014706,19955.220588235294,LPL
60,15852.913602941177,19881.966911764706,CDK1
61,15861.293658088236,19856.70036764706,CDK1
62,15868.125,19870.65487132353,TOP2A
63,16464.138327205885,19772.8515625,CEBPA
64,15781.194852941177,19875.87775735294,FHL2
65,15781.892233455883,19833.724724264706,CDH16
66,15797.07950367647,19913.12729779412,CD69
67,15819.283088235296,19907.40119485294,BST2
68,15827.23575367647,19887.77573529412,CYTIP
69,15832.058823529413,19900.930606617647,CYTIP
70,15836.354549632353,19948.426011029413,SF1
71,15841.40625,19872.447150735294,PGR
72,15844.378446691177,19972.297794117647,GLIPR1
73,15852.459788602942,19867.532169117647,MS4A3
74,16229.319852941177,18916.55330882353,BST2
75,15818.434053308823,19990.710018382353,FCGR1A
76,15829.74609375,19974.887408088234,KLRD1
77,16281.11443014706,18960.41130514706,RELA
78,16342.220818014706,19890.96737132353,RELA
79,15762.904411764706,19999.480698529413,CD164
80,15772.892922794119,19891.19025735294,PTGDS
81,15795.970818014706,19814.937959558825,LY86
82,15799.8828125,19979.225643382353,CD38
83,15806.64981617647,19817.966452205885,GZMB
84,15807.71484375,19991.808363970587,CAMP
85,15821.814108455883,19978.956801470587,CD164
86,15825.00919117647,19902.035845588234,CLECL1
87,15832.09903492647,19889.425551470587,CD38
88,15836.375229779413,19841.008731617647,PTPRC
89,15840.18612132353,19891.399356617647,CD38
90,15845.444623161766,19866.518841911766,UBE2C
91,15850.95818014706,19986.980698529413,PTPRC
92,15850.78125,19979.517463235294,CAMP
93,15858.87637867647,19994.324448529413,PTPRC
94,15863.83961397059,19849.829963235294,PTPRC
95,16155.774356617647,19237.215073529413,PTPRC
96,15763.357077205883,19942.026654411766,PF4
97,15767.102481617647,19940.066636029413,PF4
98,15769.672564338236,19926.888786764706,PF4
99,15774.533547794119,19914.880514705885,PF4
100,15779.985064338236,19913.508731617647,PF4
101,15786.235064338236,19902.116268382353,PF4
102,15801.92325367647,19812.431066176472,FTH1
103,15807.884880514706,19957.534466911766,CTSG
104,15811.14315257353,19933.959099264706,CTSG
105,15815.57559742647,19901.845128676472,TENT5C
106,15816.838235294119,19894.333639705885,TENT5C
107,15816.920955882353,19899.018841911766,TENT5C
108,15824.12224264706,19943.722426470587,CTSG
109,15824.846047794119,19896.9921875,TENT5C
110,15835.374540441177,19865.88235294118,TENT5C
111,15837.11971507353,19831.567095588234,SCGN
112,15844.672564338236,19928.38924632353,TENT5C
113,15845.0390625,19870.153952205885,TENT5C
114,15846.97380514706,19823.915441176472,TENT5C
115,15847.624080882353,19940.691636029413,TENT5C
116,15848.23299632353,19917.91130514706,FTH1
117,15855.053998161766,19972.975643382353,CXCL10
118,16166.707261029413,19216.069623161766,MNDA
119,16194.001608455883,19065.367647058825,PLEK
120,16238.7109375,19764.480698529413,DNTT
121,16257.27596507353,19986.555606617647,TENT5C
122,15789.441636029413,19986.509650735294,MCEMP1
123,15825.171185661766,19969.694393382353,NegControlProbe_00025
124,15830.19646139706,19870.533088235294,GHRL
125,15855.999540441177,19920.183823529413,TCL1A
126,16087.502297794119,18960.35500919118,IGSF6
127,16131.7578125,19294.719669117647,THAP2
128,16377.632123161766,19757.573529411766,MCEMP1
129,15770.832950367647,19892.729779411766,ADAMTS1
130,15787.87109375,19942.670036764706,CAVIN2
131,15796.314338235296,19930.905330882353,CAVIN2
132,15829.341681985296,19967.826286764706,PLCG2
133,15833.588005514706,19894.43244485294,PLCG2
134,15843.582261029413,19844.27849264706,KCNMA1
135,15868.83961397059,19999.636948529413,FTH1
136,15779.32674632353,19882.778033088234,VPREB1
137,15780.44117647059,19874.937959558825,TRAC
138,15780.334329044119,19975.7421875,FUT4
139,15781.946231617647,19826.81525735294,TRAC
140,15792.956112132353,19986.03860294118,ABCC11
141,15837.787224264706,19931.677389705885,VPREB1
142,15848.68221507353,19977.904411764706,FCN1
143,15851.452205882353,19868.469669117647,CD48
144,15851.731387867647,19988.36167279412,VPREB1
145,15856.335018382353,19850.13556985294,CD28
146,16384.955193014706,19194.41750919118,NegControlCodeword_0510
147,15779.271599264706,19874.1796875,OGN
148,15787.576976102942,19976.72104779412,CTSG
149,15789.255514705883,19820.075827205885,NFKB1
150,15790.337775735296,19980.464154411766,CTSG
151,15799.700137867647,19982.375919117647,CTSG
152,15799.862132352942,19932.846966911766,CTSG
153,15802.70565257353,19936.555606617647,CTSG
154,15833.185891544119,19965.836397058825,IDH2
155,15837.889476102942,19932.21047794118,FKBP11
156,15842.796415441177,19875.34237132353,IDH2
157,15843.413373161766,19991.927849264706,VEGFA
158,15847.82398897059,18959.813878676472,FKBP11
159,15849.04411764706,19998.837316176472,TAC1
160,15867.709099264706,19860.714613970587,CTSG
161,16404.488740808825,19967.844669117647,CRISPLD2
162,15769.15096507353,19956.95542279412,VPREB1
163,15775.747931985296,19889.273897058825,VPREB1
164,15825.805376838236,19891.764705882353,LMNB1
165,15833.84880514706,19038.933823529413,IL1R2
166,15842.172564338236,19987.624080882353,LTF
167,15842.12086397059,19831.946231617647,LTF
168,15843.511029411766,19820.926011029413,LTF
169,15847.995174632353,19858.59604779412,VPREB1
170,15851.253446691177,19868.409926470587,VPREB1
171,15851.753216911766,19838.9453125,ZRSR2
172,15854.411764705883,19144.384191176472,MDM2
173,15862.172564338236,19999.26011029412,ZRSR2
174,15863.810891544119,19879.430147058825,LMNB1
175,15766.735983455883,19891.69806985294,RUNX1
176,15774.914981617647,19880.21599264706,RUNX1
177,15794.939108455883,19868.448988970587,CD74
178,15803.600643382353,19892.566636029413,CD74
179,15825.88924632353,19988.32261029412,CD74
180,15843.775275735296,19937.113970588234,CCR2
181,15860.326286764706,19846.420036764706,MKI67
182,15869.577205882353,19875.829503676472,MKI67
183,16390.77205882353,19944.763327205885,LGALS1
184,15797.34489889706,19935.33547794118,ELANE
185,15801.30055147059,19972.5,ELANE
186,15802.50919117647,19941.26838235294,CTSG
187,15804.40602022059,19933.173253676472,ELANE
188,15804.655330882353,19959.95174632353,ELANE
189,15815.44117647059,19918.111213235294,CD27
190,15821.36833639706,19914.54963235294,CTSG
191,15824.485294117647,19346.121323529413,SLC4A1
192,15828.02734375,19438.959099264706,MMP9
193,15830.23552389706,19955.80422794118,MS4A3
194,15835.305606617647,19896.03630514706,CD27
195,15842.760799632353,19913.671875,ELANE
196,15861.551011029413,19879.72886029412,CENPF
197,15865.116038602942,19665.287224264706,ELANE
198,15912.678079044119,19586.578584558825,SLC4A1
199,16360.90992647059,19966.7578125,ALAS2
200,16381.656709558823,19377.996323529413,MMP9
201,16405.961626838234,18951.918658088234,ALAS2
202,16467.807904411766,19988.200827205885,ALAS2
203,15786.840533088236,19910.85018382353,LAMP3
204,15792.926240808823,19960.903033088234,DIRAS3
205,15843.882123161766,19874.172794117647,CXCR4
206,15846.255744485296,19971.70266544118,LAMP3
207,15851.02481617647,19927.40349264706,PLCG2
208,15851.418887867647,19862.235753676472,UBE2C
209,15858.265165441177,19852.279411764706,CXCR4
210,15870.685891544119,19852.109375,CXCR4
211,15876.008731617647,19864.08088235294,PPM1D
212,16446.439568014706,19337.339154411766,S100A12
213,15754.280790441177,19689.958639705885,RAPGEF3
214,15759.153262867647,19968.4375,ALAS2
215,15771.3671875,19955.376838235294,TGFB1
216,15796.37637867647,19993.212316176472,BMP4
217,15816.753216911766,19934.20955882353,ALAS2
218,15828.15487132353,19904.00735294118,SLAMF7
219,15829.712775735296,19942.87224264706,NKG7
220,15830.894990808823,19890.004595588234,ADAM28
221,15833.102022058823,19913.80974264706,MYLK
222,15836.888786764706,19878.097426470587,PGR
223,15838.952205882353,19828.75,FCGR1A
224,15840.22403492647,19837.028952205885,MNDA
225,15842.502297794119,19813.724724264706,MNDA
226,15845.130974264706,19878.044577205885,FKBP11
227,15847.063419117647,19989.70588235294,TGFB1
228,15846.902573529413,19898.474264705885,SLAMF7
229,15858.461626838236,19866.34880514706,TOP2A
230,15865.8984375,19867.44025735294,TOP2A
231,15876.02596507353,19853.871783088234,MDM2
232,15879.772518382353,19862.748161764706,CFTR
233,15753.74080882353,19936.769301470587,PF4
234,15756.013327205883,19889.10386029412,PF4
235,15758.450137867647,19956.764705882353,VPREB1
236,15758.756893382353,19951.9921875,PF4
237,15782.683823529413,19939.501378676472,PF4
238,15806.3671875,19986.247702205885,VPREB1
239,15816.849724264706,19837.398897058825,MZB1
240,15818.465073529413,19885.57674632353,MZB1
241,15824.79434742647,19879.974724264706,MZB1
242,15830.69278492647,19871.925551470587,MZB1
243,15835.71346507353,19873.55698529412,MZB1
244,15838.002068014706,19927.67922794118,MZB1
245,15846.746323529413,19886.989889705885,MZB1
246,15848.83961397059,19870.700827205885,VPREB1
247,15860.434283088236,19863.327205882353,VPREB1
248,15860.855928308823,19968.324908088234,CAMP
249,15869.176240808823,19864.034926470587,MZB1
250,16427.926240808825,19965.089613970587,CAMP
